PLAYER,TEAM,YAHOO,ESPN,FANTRAX,BLEND
Nikola Jokic,DEN,1.1,1.8,1.3,1.4
Giannis Antetokounmpo,MIL,4.6,2.1,2.6,3.1
Luka Doncic,DAL,5.1,3.4,4.3,4.3
Joel Embiid,PHI,4.7,6.6,4.1,5.1
Kevin Durant,BRO,3.3,7.3,8.1,6.2
Stephen Curry,GSW,6.3,6.3,7.1,6.6
Jayson Tatum,BOS,8.5,9.9,5.5,8
Trae Young,ATL,6,10.1,10.8,9
LeBron James,LAL,12.5,5.4,12.6,10.2
Karl-Anthony Towns,MIN,7.8,13.4,10.4,10.5
James Harden,PHI,10.7,12.4,9.9,11
LaMelo Ball,CHA,10.8,16.4,9.4,12.2
Devin Booker,PHX,18.3,19,18.9,18.7
Ja Morant,MEM,16.5,15.8,25.5,19.3
Dejounte Murray,ATL,22.1,9.8,26.6,19.5
Anthony Davis,LAL,16.8,24.4,18.9,20
Donovan Mitchell,CLE,22.3,15.3,27.5,21.7
Damian Lillard ,POR,16.4,33.2,23.3,24.3
Paul George,LAC,22.5,24.7,27.6,24.9
Jimmy Butler,MIA,25,18.6,31.6,25.1
Domantas Sabonis,SAC,24.1,23.3,28.1,25.2
Rudy Gobert,MIN,27.3,26.4,25.5,26.4
DeMar DeRozan,CHI,27.4,21.9,32.5,27.3
Bam Adebayo,MIA,22.8,29.8,29.6,27.4
Kyrie Irving,BRO,15.5,50,17.5,27.7
Anthony Edwards,MIN,26,38.2,19.8,28
Shai Gilgeous-Alexander,OKL,30.6,26,29.9,28.8
Tyrese Haliburton,IND,19.5,42.1,26.8,29.5
Pascal Siakam,TOR,32,25.3,31.4,29.6
Fred VanVleet,TOR,29.9,25.5,34.6,30
Darius Garland,CLE,25.8,39.4,28.5,31.2
Chris Paul,PHX,35.5,26.3,34.5,32.1
Kawhi Leonard ,LAC,27.6,45.9,24.6,32.7
Zion Williamson,NOP,41.8,28.9,43.1,37.9
Nikola Vucevic,CHI,37,32.3,45.8,38.4
Bradley Beal ,WAS,30.7,46.7,39.4,38.9
Zach LaVine ,CHI,41.8,38.9,37.9,39.5
Jaylen Brown,BOS,36,42.1,41,39.7
Jrue Holiday,MIL,45.7,33.9,41.8,40.5
De'Aaron Fox,SAC,46.8,41,50,45.9
Robert Williams,BOS,36.5,58.2,46.3,47
CJ McCollum,NOP,49.2,39.8,54.6,47.9
Deandre Ayton,PHX,37.9,55.2,50.9,48
Kristaps Porzingis,WAS,49.7,56.5,41.3,49.2
Khris Middleton ,MIL,45.7,55.1,47.4,49.4
Jarrett Allen,CLE,47.3,50.6,55.1,51
Evan Mobley,CLE,41.4,64.2,47.5,51
Cade Cunningham,DET,35.9,72.5,45.3,51.2
Brandon Ingram ,NOP,53,46.6,54.4,51.3
Terry Rozier,CHA,59.3,55.6,50.4,55.1
Scottie Barnes,TOR,48.7,68.5,51.6,56.3
Julius Randle,NYK,56.8,49.6,64.1,56.8
Jonas Valanciunas,NOP,50.2,67.5,54.5,57.4
Christian Wood,DAL,54.9,55.8,64.6,58.4
Myles Turner,IND,50.9,76.4,66.9,64.7
Desmond Bane,MEM,53,91.5,57,67.2
D'Angelo Russell,MIN,66.4,62.9,78,69.1
OG Anunoby,TOR,56.4,84.7,67.6,69.6
Klay Thompson,GSW,67.4,68.8,74.5,70.2
Jordan Poole,GSW,70.9,86.6,56.4,71.3
Draymond Green,GSW,73.7,73.6,67,71.4
Tyrese Maxey,PHI,65.7,80.1,69.4,71.7
Jakob Poeltl,SAS,70.4,78.4,68.4,72.4
Russell Westbrook,LAL,82.9,58.5,76.9,72.8
Josh Giddey,OKL,55.1,98.4,65.3,72.9
Tobias Harris,PHI,67.4,74.4,78.5,73.4
John Collins,ATL,60.8,87,75,74.3
Andrew Wiggins,GSW,76.5,73.9,74.6,75
Tyler Herro,MIA,74.8,80.3,70.3,75.1
Lonzo Ball ,CHI,84.3,66.2,76.7,75.7
Clint Capela,ATL,70.7,80,78.1,76.3
Jusuf Nurkic ,POR,66.3,88,85.1,79.8
Ben Simmons ,BRO,87.5,93.9,60.7,80.7
Marcus Smart,BOS,85.8,92.9,64.8,81.2
Jaren Jackson Jr. ,MEM,70.8,80.9,92.3,81.3
Mikal Bridges,PHX,68.7,99.3,78.3,82.1
Jalen Brunson,NYK,79.4,101.7,69.5,83.5
Paolo Banchero,ORL,70.7,122.1,63.5,85.4
Wendell Carter Jr.,ORL,83.3,90.1,85.9,86.4
Keldon Johnson,SAS,82.4,112.4,71.3,88.7
JT Thor,CHA,,140,40,90
Kyle Lowry,MIA,97.2,82.9,91.8,90.6
Jerami Grant,POR,79.8,94.7,101.1,91.9
Malcolm Brogdon,BOS,90.2,68.7,117.9,92.3
Jalen Green,HOU,79.7,123.3,76.4,93.1
Anfernee Simons ,POR,103.5,84.1,94.9,94.2
Michael Porter Jr. ,DEN,70.9,133.4,78.7,94.3
Al Horford,BOS,93.6,94.7,98.3,95.5
RJ Barrett,NYK,88.3,105.1,94.5,96
Kyle Kuzma,WAS,103.2,93.9,93.9,97
Saddiq Bey,DET,88.8,112.9,89.8,97.2
Buddy Hield,IND,83,117.1,92.9,97.7
Boban Marjanovic,HOU,,139.4,58,98.7
Alperen Sengun,HOU,84.9,135.9,79.3,100
Jamal Murray ,DEN,77.6,78.4,144,100
Franz Wagner,ORL,98,121.7,83.5,101.1
Kevin Porter Jr.,HOU,108.1,113.9,83.9,102
Gary Trent Jr.,TOR,100.4,113.4,93.1,102.3
Bobby Portis,MIL,108,100.1,103.1,103.7
Collin Sexton,UTA,94.1,88,129,103.7
Mitchell Robinson,NYK,87.6,117.7,106.1,103.8
Devin Vassell,SAS,99.1,137.3,83.9,106.8
Gordon Hayward ,CHA,107.6,111.7,103.2,107.5
Justin Holiday,ATL,,139.4,76,107.7
Mo Bamba,ORL,99.6,116,109.1,108.2
Keegan Murray,SAC,96.6,137.2,91.9,108.6
Max Strus,MIA,,140,79,109.5
PJ Washington,CHA,105.7,134.2,93.3,111.1
Kevon Looney,GSW,139.7,137.4,58,111.7
Isaiah Jackson,IND,99.8,137.1,102.5,113.1
Brandon Clarke,MEM,112.5,133,94.2,113.2
Herbert Jones,NOP,102.8,137.8,99.3,113.3
Jabari Smith Jr,HOU,115,135.8,89.2,113.3
Harrison Barnes,SAC,110.9,112.1,117.5,113.5
Caris LeVert,CLE,124.1,97,120.2,113.8
Ivica Zubac,LAC,98.8,133.7,111.5,114.7
Jalen Smith,IND,107.5,139.8,99.5,115.6
Reggie Jackson,LAC,133.9,122.3,91.5,115.9
Mike Conley,UTA,122.2,103.4,125.4,117
Josh Hart,POR,126.5,108.2,116.9,117.2
