rank,player,position,team,gp,mp,fg_pct,ft_pct,3pm,pts,rb,ast,stl,blk,value
1,Nikola Jokic,C,DEN,74,33.5,0.577 (10.1/17.4),0.831 (5.0/6.0),1.2,26.3,13.8,8.4,1.4,0.9,16.45
2,Kevin Durant,"SF,PF",BRO,68,35.7,0.517 (10.3/19.8),0.907 (6.6/7.3),2.1,29.2,7.2,6.3,0.9,0.9,13.44
3,Joel Embiid,"PF,C",PHI,68,33.8,0.495 (9.8/19.8),0.821 (9.5/11.6),1.3,30.4,11.9,4,1.1,1.5,12.88
4,James Harden,"PG,SG",PHI,70,36.4,0.446 (6.3/14.2),0.868 (7.2/8.2),2.3,22.1,7.5,10.2,1.3,0.6,11.62
5,Giannis Antetokounmpo,"PF,C",MIL,68,32.8,0.551 (10.4/18.8),0.728 (8.4/11.6),1.1,30.3,11.8,5.9,1.1,1.4,10.41
6,Stephen Curry,PG,GSW,64,34.4,0.441 (8.1/18.4),0.914 (4.4/4.8),4.6,25.1,5.3,6.4,1.2,0.4,10.13
7,LeBron James,"SF,PF",LAL,68,33.4,0.523 (10.4/19.9),0.750 (4.1/5.5),2.7,27.6,7.5,6.1,1.2,1,10.11
8,Luka Doncic,"PG,SG",DAL,69,35.4,0.459 (10.7/23.2),0.749 (5.7/7.7),3.2,30.2,9.4,8.9,1.2,0.6,9.4
9,Karl-Anthony Towns,"PF,C",MIN,74,33.5,0.514 (8.1/15.7),0.833 (5.0/6.0),2.2,23.4,8.7,3.7,1,1,9.2
10,Trae Young,PG,ATL,76,34.2,0.452 (9.0/20.0),0.905 (6.4/7.0),3,27.4,3.7,8.7,0.9,0.1,9.14
11,Kyrie Irving,"PG,SG",BRO,59,36.4,0.470 (9.7/20.7),0.912 (4.1/4.4),3.1,26.6,4,5.2,1.2,0.6,8.88
12,LaMelo Ball,"PG,SG",CHA,76,33.4,0.431 (7.7/17.8),0.875 (2.9/3.4),3.1,21.3,6.9,8.2,1.6,0.4,8.76
13,Damian Lillard ,PG,POR,68,36.5,0.439 (8.0/18.2),0.892 (6.0/6.7),3.5,25.5,4.2,7.5,0.9,0.3,8.6
14,Jayson Tatum,"SF,PF",BOS,74,36,0.452 (9.5/21.0),0.856 (5.4/6.3),3.1,27.5,8.2,4.6,1,0.6,8.56
15,Tyrese Haliburton,"PG,SG",IND,75,34.7,0.472 (6.7/14.2),0.856 (3.0/3.5),2.2,18.7,4.1,9,1.6,0.6,8.39
16,Anthony Davis,"PF,C",LAL,64,35.1,0.535 (9.5/17.8),0.722 (4.5/6.2),0.3,23.8,10.1,3.2,1.2,2,8.25
17,Paul George,"SF,PF",LAC,68,34.1,0.457 (8.3/18.1),0.854 (4.1/4.8),2.9,23.5,6.9,4.7,1.6,0.4,8.12
18,Kawhi Leonard ,"SG,SF",LAC,60,32,0.495 (8.5/17.2),0.877 (4.8/5.5),1.7,23.5,6,4.4,1.4,0.4,7.92
19,Devin Booker,"SG,SF",PHX,70,34.5,0.471 (9.9/21.0),0.867 (4.7/5.4),2.8,27.2,5.2,4.9,1.1,0.4,7.72
20,Jimmy Butler,"SF,PF",MIA,58,33.9,0.478 (7.0/14.7),0.860 (6.7/7.8),0.5,21.3,6,5.3,1.6,0.5,7.31
21,Khris Middleton ,"SF,PF",MIL,68,32.4,0.473 (7.1/15.0),0.888 (4.0/4.5),2.5,20.7,5.5,5.5,1.2,0.3,7.03
22,Robert Williams,C,BOS,60,29.8,0.722 (4.5/6.2),0.734 (1.1/1.5),0,10,9.9,2.1,0.9,2.2,6.88
23,Bam Adebayo,C,MIA,72,33.6,0.557 (7.6/13.7),0.760 (4.7/6.2),0,19.9,10.5,3.7,1.3,1,6.68
24,Domantas Sabonis,"PF,C",SAC,69,34.5,0.560 (7.3/13.1),0.747 (3.8/5.1),0.6,19.1,11.8,5.5,1,0.5,6.52
25,DeMar DeRozan,"SF,PF",CHI,77,35.7,0.494 (9.3/18.7),0.871 (6.8/7.9),0.7,26.1,5.1,4.9,0.9,0.3,6.46
26,Chris Paul,PG,PHX,65,31.4,0.496 (5.4/11.0),0.837 (2.5/3.0),1,14.4,4.2,10.5,1.6,0.3,6.38
27,Kristaps Porzingis,"PF,C",WAS,60,29.4,0.460 (7.0/15.2),0.868 (5.0/5.8),1.6,20.6,8.1,1.8,0.7,1.5,6.37
28,Shai Gilgeous-Alexander,"PG,SG",OKL,69,34.7,0.468 (8.6/18.4),0.808 (6.0/7.4),1.6,24.9,5.1,5.7,1.2,0.8,6.37
29,Darius Garland,PG,CLE,72,35.2,0.466 (7.7/16.4),0.900 (3.0/3.3),2.4,20.7,3.1,8,1.3,0.1,6.29
30,Fred VanVleet,PG,TOR,65,36.7,0.403 (6.7/16.6),0.871 (3.0/3.4),3.6,20,4.4,6.6,1.5,0.5,6.28
31,Myles Turner,C,IND,68,31.3,0.485 (5.2/10.7),0.760 (2.1/2.7),1.6,14.1,8.1,1.1,0.8,2.7,6.05
32,Jrue Holiday,"PG,SG",MIL,67,32.9,0.500 (7.0/14.0),0.764 (2.1/2.8),2,18.2,4.6,6.9,1.6,0.4,5.99
33,Donovan Mitchell,"PG,SG",CLE,70,33.9,0.451 (8.6/19.0),0.852 (3.7/4.4),3.3,24.2,3.9,5,1.4,0.2,5.88
34,Ja Morant,PG,MEM,67,33,0.485 (10.4/21.5),0.754 (5.6/7.4),1.6,28,5.9,7.1,1.1,0.4,5.48
35,Bradley Beal ,SG,WAS,68,35.6,0.464 (9.0/19.3),0.825 (4.2/5.1),2.1,24.3,4.8,5.4,1.2,0.4,5.44
36,Rudy Gobert,C,MIN,71,32.1,0.717 (5.4/7.5),0.681 (4.1/6.0),0,14.8,13,1.1,0.6,2,5.35
37,Zach LaVine ,"SG,SF",CHI,70,34.2,0.489 (8.5/17.5),0.834 (4.7/5.6),2.8,24.6,4.6,4.5,0.6,0.3,5.1
38,Cade Cunningham,"PG,SG",DET,72,33.8,0.423 (7.7/18.1),0.846 (2.5/2.9),2,19.8,6.2,6.3,1.2,0.8,4.99
39,Jarrett Allen,C,CLE,73,32.3,0.658 (6.5/9.8),0.715 (3.0/4.2),0,15.9,10.4,1.6,0.8,1.3,4.96
40,Deandre Ayton,C,PHX,70,30.7,0.634 (8.0/12.7),0.720 (1.9/2.6),0.1,18.1,10.7,1.5,0.7,0.7,4.85
41,Terry Rozier,"PG,SG",CHA,73,34.1,0.442 (7.7/17.5),0.852 (2.4/2.8),3.1,21,4.4,4.6,1.3,0.3,4.67
42,Anthony Edwards,"SG,SF",MIN,72,35.2,0.440 (8.0/18.1),0.794 (3.2/4.1),3.1,22.3,4,4,1.4,0.6,4.6
43,Nikola Vucevic,C,CHI,74,31.7,0.474 (7.3/15.4),0.765 (1.3/1.7),1.4,17.2,10.6,3.1,1,1,4.58
44,Desmond Bane,"SG,SF",MEM,76,30.1,0.463 (7.0/15.2),0.898 (1.9/2.1),3.1,19,4.5,2.8,1.2,0.4,4.36
45,Dejounte Murray,"PG,SG",ATL,70,33.8,0.460 (7.4/16.0),0.806 (2.5/3.0),1.2,18.4,5.7,5.6,1.8,0.3,4.35
46,Jaylen Brown,"SG,SF",BOS,71,34,0.473 (9.0/18.9),0.771 (3.8/4.9),2.6,24.3,6.3,3.6,1.1,0.3,4.23
47,Pascal Siakam,"PF,C",TOR,70,37.2,0.475 (8.4/17.6),0.749 (4.2/5.6),1.1,22,8.3,5,1.2,0.6,4.18
48,Kyle Lowry,PG,MIA,65,34.2,0.437 (5.0/11.3),0.858 (2.5/2.9),2.4,14.8,4.6,7.3,1.1,0.3,4.14
49,Jaren Jackson Jr. ,"PF,C",MEM,44,27,0.423 (5.6/13.1),0.818 (3.6/4.4),1.6,16.3,5.9,1.1,0.9,2.2,4.09
50,Jonas Valanciunas,C,NOP,74,30,0.544 (6.5/12.0),0.818 (3.0/3.7),0.8,16.8,10.7,1.7,0.6,0.8,4
51,Evan Mobley,"PF,C",CLE,74,34.8,0.506 (6.6/13.0),0.692 (2.7/3.9),0.4,16.3,8.9,2.7,0.8,1.9,3.74
52,Jordan Poole,"PG,SG",GSW,77,30.1,0.451 (6.5/14.5),0.913 (3.3/3.6),2.9,19.1,3.5,4.1,0.8,0.3,3.71
53,De'Aaron Fox,PG,SAC,67,35.4,0.477 (9.0/18.9),0.749 (4.5/6.0),1.5,24,4,6.5,1.2,0.4,3.59
54,John Collins,"PF,C",ATL,72,30.8,0.520 (6.2/12.0),0.807 (2.6/3.2),1.2,16.3,8,1.8,0.6,1,3.27
55,Julius Randle,PF,NYK,72,34.6,0.449 (7.2/16.1),0.785 (4.1/5.3),1.7,20.2,9.5,4.4,0.7,0.5,3.09
56,Scottie Barnes,"SF,PF",TOR,74,35.4,0.492 (6.8/13.8),0.747 (2.2/3.0),1,16.8,7.7,3.6,1.1,0.7,3.05
57,CJ McCollum,"PG,SG",NOP,69,34.7,0.462 (8.9/19.2),0.705 (1.9/2.8),3,22.6,4.5,4.2,1.1,0.4,3.02
58,Draymond Green,"PF,C",GSW,64,28.8,0.519 (2.9/5.7),0.650 (1.3/2.0),0.4,7.6,7.3,6.8,1.3,1,2.88
59,Brandon Ingram ,"SF,PF",NOP,62,34.1,0.458 (8.4/18.3),0.814 (4.9/6.0),1.4,23.1,5.9,4.7,0.6,0.5,2.88
60,Gordon Hayward ,"SF,PF",CHA,60,32.2,0.461 (6.5/14.1),0.844 (3.0/3.5),2,18,4.7,3.7,1,0.4,2.85
61,Tyler Herro,"PG,SG",MIA,68,33.3,0.442 (7.8/17.7),0.878 (3.0/3.4),2.7,21.4,5.2,4.2,0.7,0.1,2.79
62,Tyrese Maxey,"PG,SG",PHI,74,35.4,0.477 (7.0/14.6),0.849 (2.9/3.4),1.8,18.6,3.3,4.4,0.9,0.4,2.7
63,Mikal Bridges,"SG,SF",PHX,80,34.9,0.531 (6.1/11.4),0.842 (1.9/2.2),1.4,15.4,4.3,2.4,1.2,0.4,2.69
64,Jamal Murray ,"PG,SG",DEN,62,30.5,0.463 (6.8/14.7),0.861 (2.4/2.8),2.4,18.3,3.6,4.2,1,0.3,2.69
65,Michael Porter Jr. ,"SF,PF",DEN,61,31.4,0.482 (6.8/14.1),0.785 (1.5/1.9),1.9,17,6.7,1.8,1,0.7,2.66
66,PJ Washington,"PF,C",CHA,72,30.6,0.467 (5.0/10.7),0.729 (1.2/1.7),1.9,13.1,6.2,2.8,1.1,1.1,2.6
67,D'Angelo Russell,"PG,SG",MIN,65,32,0.422 (6.0/14.3),0.801 (3.0/3.8),2.6,17.7,3.4,7,1,0.3,2.56
68,OG Anunoby,"SG,SF",TOR,67,36,0.442 (6.5/14.8),0.761 (1.9/2.6),2.5,17.5,5.6,2.7,1.4,0.5,2.45
69,Brandon Clarke,"SF,PF",MEM,70,26.4,0.623 (6.0/9.7),0.668 (1.7/2.6),0.1,13.9,7,1.8,0.8,1.2,2.42
70,Zion Williamson,PF,NOP,61,33.1,0.587 (9.5/16.2),0.701 (6.2/8.8),0.2,25.5,7.3,3.1,0.8,0.5,2.39
71,Tobias Harris,"SF,PF",PHI,73,33,0.486 (6.6/13.5),0.859 (2.3/2.7),1.4,16.8,6.6,3.4,0.6,0.6,2.35
72,Keegan Murray,"SF,PF",SAC,72,30,0.551 (6.0/10.9),0.761 (2.8/3.7),1.3,16.2,6,1,0.7,1,2.29
73,Ivica Zubac,C,LAC,76,28,0.631 (4.8/7.6),0.735 (2.6/3.5),0,12.2,9.1,1.9,0.6,1.2,2.25
74,Devin Vassell,"SG,SF",SAS,71,31.3,0.447 (6.1/13.6),0.854 (1.4/1.6),2.2,15.8,5,2.4,1.1,0.7,2.19
75,Jerami Grant,PF,POR,70,33.9,0.447 (5.8/12.9),0.837 (3.0/3.6),1.7,16.2,4.1,2.1,1,1.1,2.14
76,Ben Simmons ,PG,BRO,68,33.1,0.508 (5.1/10.0),0.689 (3.1/4.5),0.1,13.4,7.3,6,1.5,0.6,2.06
77,Alperen Sengun,C,HOU,76,30.1,0.471 (5.2/11.0),0.718 (3.4/4.7),0.6,14.3,8.3,3.8,1,1.2,2.02
78,Wendell Carter Jr.,"PF,C",ORL,66,30.3,0.525 (5.8/11.0),0.723 (2.2/3.1),1,14.8,9.9,2.4,0.6,0.7,1.95
79,Onyeka Okongwu,C,ATL,70,23.1,0.643 (4.2/6.5),0.760 (2.0/2.6),0,10.4,6.7,1.3,0.7,1.5,1.92
80,Marcus Smart,"PG,SG",BOS,70,31.4,0.416 (4.2/10.0),0.798 (1.8/2.2),1.6,11.7,3.8,5.8,1.7,0.3,1.88
81,Buddy Hield,"SG,SF",IND,78,31.8,0.421 (6.0/14.2),0.875 (1.5/1.7),3.4,16.8,4.5,3,1,0.3,1.79
82,Josh Giddey,"SG,SF",OKL,64,32.5,0.426 (6.0/14.1),0.737 (1.3/1.8),1.2,14.5,8.2,6.7,1,0.4,1.79
83,Jalen Brunson,"PG,SG",NYK,77,33.9,0.478 (6.9/14.5),0.833 (2.5/3.0),1.3,17.6,3.6,6.5,0.9,0,1.71
84,Lauri Markkanen,"SF,PF",UTA,65,32.3,0.445 (6.4/14.3),0.843 (2.5/2.9),2.5,17.7,6.4,1.5,0.8,0.5,1.68
85,Jakob Poeltl,C,SAS,68,28.7,0.613 (6.1/9.9),0.473 (1.4/3.0),0,13.5,9.5,2.8,0.7,1.7,1.62
86,Keldon Johnson,"SF,PF",SAS,75,33.5,0.465 (7.2/15.5),0.774 (3.3/4.2),2.4,20.1,6.5,2.3,0.9,0.2,1.59
87,Kevin Porter Jr.,PG,HOU,61,31.3,0.423 (6.0/14.2),0.708 (2.3/3.3),2.6,16.9,4.5,6.3,1.1,0.4,1.54
88,Jusuf Nurkic ,C,POR,65,28.2,0.515 (5.2/10.1),0.677 (3.0/4.5),0.3,13.8,10.9,2.6,1.1,0.8,1.53
89,Gary Trent Jr.,"PG,SG",TOR,70,35,0.413 (6.5/15.8),0.836 (2.3/2.8),3,18.4,2.9,2,1.5,0.3,1.49
90,Paolo Banchero,PF,ORL,73,31.8,0.470 (6.6/14.1),0.729 (3.5/4.8),1.1,17.9,7.7,3.2,0.8,0.9,1.49
91,Lonzo Ball ,"PG,SG",CHI,50,30.4,0.411 (3.8/9.3),0.745 (0.4/0.5),2.3,10.3,4.4,4.6,1.3,0.6,1.48
